arm,prompt_id,sparsity,intervention_kind,purpose,representation,pool,score,selection_rule,n_cells,jaccard_median,jaccard_iqr,recall_median,spearman_rho_vs_exact_median,swaps_per_query_block_median,frac_query_blocks_changed_median,frac_decisions_changed_median,frac_cells_mask_identical_to_deployed,changed_pair_gap_fp64_median,reference_margin_norm_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,signed_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_deployed,random_matched_excess_median,isolation_ratio_abs,frac_cells_random_worse_than_arm,representation_saturation_frac_median,deployed_score_ties_median,exact_ties_fp64_total,selector_budget_violating_rows_total,selector_budget_violating_frac_max,pool_semantics,score_semantics,select_semantics
V0,p01,0.8,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,4320,1.0,0.0,1.0,0.9999892755161791,0.0,0.0,0.0,1.0,,0.0008585681424010778,0.18001074343919754,0.985014796257019,0.18001074343919754,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,326.0,0,48,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,p01,0.9,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,4320,1.0,0.0,1.0,0.9999892755161791,0.0,0.0,0.0,1.0,,0.0012994446882484472,0.2611015737056732,0.9701983034610748,0.2611015737056732,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,302.0,0,12,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,p01,0.95,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,4320,1.0,0.0,1.0,0.9999892755161791,0.0,0.0,0.0,1.0,,0.0021088596427138915,0.32723937928676605,0.9552323520183563,0.32723937928676605,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,249.0,0,12,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,p02,0.8,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,4320,1.0,0.0,1.0,0.9999892711557499,0.0,0.0,0.0,1.0,,0.0008351908232747366,0.17285160720348358,0.9867823421955109,0.17285160720348358,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,324.0,0,48,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,p02,0.9,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,4320,1.0,0.0,1.0,0.9999892711557499,0.0,0.0,0.0,1.0,,0.0012886912384254827,0.25705498456954956,0.9725781083106995,0.25705498456954956,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,297.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,p02,0.95,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,4320,1.0,0.0,1.0,0.9999892711557499,0.0,0.0,0.0,1.0,,0.0021243144700614273,0.33039841055870056,0.9574829936027527,0.33039841055870056,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,243.5,0,12,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,p03,0.8,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,4320,1.0,0.0,1.0,0.9999896799251609,0.0,0.0,0.0,1.0,,0.0008336685779420485,0.17780262231826782,0.9856784343719482,0.17780262231826782,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,324.0,0,12,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,p03,0.9,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,4320,1.0,0.0,1.0,0.9999896799251609,0.0,0.0,0.0,1.0,,0.0012806769398954,0.2603085935115814,0.9713067710399628,0.2603085935115814,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,299.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,p03,0.95,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,4320,1.0,0.0,1.0,0.9999896799251609,0.0,0.0,0.0,1.0,,0.0020853210010376806,0.33439214527606964,0.9567857682704926,0.33439214527606964,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,244.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,p04,0.8,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,4320,1.0,0.0,1.0,0.9999899630063247,0.0,0.0,0.0,1.0,,0.0008332509353356908,0.19740910828113556,0.9824744462966919,0.19740910828113556,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,314.0,0,48,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
